name	domain	country
Covenant University Ota 	http://www.covenantuniversity.edu.ng/	NG
(3) Université Mohammed V Agdal Faculté des Sciences Rabat 	http://www.fsr.ac.ma/	MA
Mekelle University 	http://www.mu.edu.et/	ET
Université de M'Sila 	http://www.univ-msila.dz/	DZ
Université Ibn Khaldoun Tiaret 	http://www.univ-tiaret.dz/	DZ
Nile University  	http://www.nileu.edu.eg/	EG
Université de Skikda 	http://www.univ-skikda.dz/	DZ
Université de Nouakchott 	http://www.univ-nkc.mr/	MR
Université Amar Telidji de Laghouat 	http://www.lagh-univ.dz/	DZ
Mogadishu University 	http://www.mogadishuuniversity.com/	SO
Institut National des Postes et Telecommunications Maroc 	http://www.inpt.ac.ma/	MA
(3) Université Moulay Ismail Faculté des Sciences de Meknès 	http://www.fs-umi.ac.ma/	MA
École du Patrimoine Africain 	http://www.epa-prema.net/	BJ
Université Gaston Berger de Saint Louis 	http://www.ugb.sn/	SN
Groupe EIER-ETSHER 	http://www.2ie-edu.org/	BF
National Open University of Nigeria 	http://www.nou.edu.ng/	NG
Zambian Open University 	http://www.zaou.ac.zm/	ZM
Ladoke Akintola University of Technology 	http://www.lautech.edu.ng/	NG
Kigali Institute of Science & Technology 	http://www.kist.ac.rw/	RW
Université Dr Yahia Farès de Médéa  	http://www.univ-medea.dz/	DZ
Mountains of the Moon University 	http://www.mmu.ac.ug/	UG
University of Nyala 	http://nyalau.edu.sd/	SD
Copperbelt University 	http://www.cbu.ac.zm/	ZM
Université Senghor d'Alexandrie 	http://www.usenghor-francophonie.org/	EG
École Supérieure d'Ingénierie en Sciences Appliquées ESISA 	http://www.esisa.ac.ma/	MA
École Normale Supérieure d'Enseignament Technologique d'Oran 	http://www.enset-oran.dz/	DZ
Uganda Christian University 	http://www.ucu.ac.ug/	UG
Université de Béchar 	http://www.univ-bechar.dz/	DZ
Université Hassan I Settat 	http://www.uh1.ac.ma/	MA
(1) Ahfad University for Women 	http://www.ahfad.org/	SD
Open University of Tanzania 	http://www.out.ac.tz/	TZ
Federal University of Technology Owerri 	http://www.futo.edu.ng/	NG
Africa University 	http://www.africau.edu/	ZW
Tumaini University Iringa University College 	http://www.tumaini.ac.tz/	TZ
University of Uyo 	http://www.uniuyo.edu.ng/	NG
University of Calabar 	http://www.unical.edu.ng/	NG
Université de Dschang  	http://www.univ-dschang.org/	CM
